Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100n","C0805",50.828428,-97.999999,45.000000,bottom
"C22","1u","C0805",120.242640,-108.928932,315.000000,bottom
"C23","1u","C0805",100.928931,-87.757360,45.000000,bottom
"C25","1u","C0805",112.242640,-100.928932,315.000000,bottom
"C27","1u","C0805",91.071069,-120.242640,225.000000,bottom
"C29","1u","C0805",79.757360,-91.071069,135.000000,bottom
"C30","1u","C0805",99.071069,-112.242640,225.000000,bottom
"C31","1u","C0805",116.000000,-76.928932,135.000000,bottom
"C32","1u","C0805",87.757360,-99.071069,135.000000,bottom
"C39","100n","C0805",69.257360,-104.257360,45.000000,bottom
"C40","100n","C0805",104.257360,-130.742640,135.000000,bottom
"C41","100n","C0805",103.272078,-74.100506,225.000000,bottom
"C42","10u","C0805",101.857865,-76.928933,135.000000,bottom
"C48","100n","C0805",130.742640,-95.742640,225.000000,bottom
"C49","100n","C0805",95.742640,-69.257360,315.000000,bottom
"C50","100n","C0805",106.100506,-71.272079,225.000000,bottom
"C51","10u","C0805",108.928933,-68.443651,45.000000,bottom
"C63","1u","C0805",49.414214,-90.928932,225.000000,bottom
"C64","1u","C0805",48.000000,-89.514718,225.000000,bottom
"C65","100n","C0805",46.585786,-88.100504,225.000000,bottom
"C66","100n","C0805",45.171573,-86.686291,225.000000,bottom
"D14","LED-SMD-BLUE","APT3216",37.343901,-87.343900,45.000000,bottom
"J1","VL53L0X","7-188275-8",116.000000,-116.000000,225.000000,bottom
"J2","VL53L0X","7-188275-8",108.000000,-108.000000,225.000000,bottom
"J4","SM05B-SRSS-TB","SM05B-SRSS-TB",126.500000,-91.500000,135.000000,bottom
"J5","VL53L0X","7-188275-8",116.000000,-84.000000,315.000000,bottom
"J6","VL53L0X","7-188275-8",108.000000,-92.000000,315.000000,bottom
"J8","SM05B-SRSS-TB","SM05B-SRSS-TB",91.500000,-73.500000,225.000000,bottom
"J9","VL53L0X","7-188275-8",84.000000,-84.000000,45.000000,bottom
"J10","VL53L0X","7-188275-8",92.000000,-92.000000,45.000000,bottom
"J12","SM05B-SRSS-TB","SM05B-SRSS-TB",73.500000,-108.500000,315.000000,bottom
"J13","VL53L0X","7-188275-8",84.000000,-116.000000,135.000000,bottom
"J14","VL53L0X","7-188275-8",92.000000,-108.000000,135.000000,bottom
"J16","SM05B-SRSS-TB","SM05B-SRSS-TB",108.500000,-126.500000,45.000000,bottom
"J18","XT60PW-F","XT60-F",45.870000,-122.748737,135.000000,bottom
"J19","XT90PW-M","XT90PW-M",158.000000,-108.000000,45.000000,bottom
"J20","XBEE","XBEE",48.000000,-98.000000,225.000000,bottom
"Q9","BSS138DW","BSS138DW",50.121320,-114.263456,315.000000,bottom
"R49","0R","R0805",123.071067,-111.757359,135.000000,bottom
"R50","0R","R0805",103.757359,-84.928933,225.000000,bottom
"R52","0R","R0805",115.071067,-103.757359,135.000000,bottom
"R54","0R","R0805",88.242641,-123.071067,45.000000,bottom
"R56","0R","R0805",76.928933,-88.242641,315.000000,bottom
"R57","0R","R0805",96.242641,-115.071067,45.000000,bottom
